,model_type,host,date,dataset,	noise,angle,nominal_sig_frac,sig_frac,max_epochs,epochs,train_n_events,valid_n_events,train_time,eval_acc,train_acc,test_acc,eval_loss,train_loss,test_loss,weighted_n_events,n_raw_bkgd,n_raw_sig,n_pass_bkgd,n_pass_sig,raw_signif,pass_signif,cm_train,cm_valid,cm_weighted,opt_reg_thresh,layers
152,relegator,charmander,2020.07.14_12:10:09,0ic34nyv,0.25,1.7,0.00318,0.00318,2000,530,15000,5000,81.5779,0.6357,0.6359,0.6356,1.0518,1.0272,1.0987,100000,16148,315,1,40,2.455,6.247000000000001,4906:0:2580:441:1069:6004:0:0:0,1664:0:850:153:323:2010:0:0:1,64540:4:35138:22:40:256:0:0:0,,
153,regressor,charmander,2020.07.14_12:11:20,0ic34nyv,0.25,1.7,0.00318,0.00318,2000,445,15000,5000,58.9426,0.7623,0.7623,0.7624,0.3371,0.3698,0.341,100000,16148,315,198,155,2.455,8.25,7481:76:3540:3903,2419:24:1222:1335,98420:1262:162:156,0.8196472293138505,
154,relegator,charmander,2020.07.14_12:12:42,0ic34nyv,0.25,1.7,0.00318,0.00318,2000,431,15000,5000,68.373,0.5559,0.5559,0.5559,1.3933,1.4121,1.3196,100000,16148,315,1,41,2.455,6.3260000000000005,6861:0:696:2448:1146:3849:0:0:0,2205:0:238:818:414:1325:0:0:1,89625:6:10051:113:47:158:0:0:0,,
155,regressor,charmander,2020.07.14_12:13:57,0ic34nyv,0.25,1.7,0.00318,0.00318,2000,487,15000,5000,63.4337,0.7707,0.7706,0.7707,0.3368,0.3671,0.3437,100000,16148,315,129,148,2.455,8.892000000000001,7476:50:3816:3658,2454:20:1328:1198,98847:835:169:149,0.8398081016540527,
156,relegator,charmander,2020.07.14_12:15:12,0ic34nyv,0.25,1.7,0.00318,0.00318,2000,442,15000,5000,61.0025,0.6941,0.6942,0.6941,1.2251,1.7885,1.3309,100000,16148,315,30,106,2.455,9.089,7158:19:323:2628:2816:2056:0:0:0,2407:10:83:898:905:697:0:0:1,94983:279:4420:115:118:85:0:0:0,,
157,regressor,charmander,2020.07.14_12:16:18,0ic34nyv,0.25,1.7,0.00318,0.00318,2000,485,15000,5000,54.9043,0.7798,0.7798,0.7799,0.3362,0.3693,0.34,100000,16148,315,127,142,2.455,8.658,7434:46:3981:3539,2507:13:1304:1176,98930:752:175:143,0.8499997213482857,
158,relegator,charmander,2020.07.14_12:17:58,bdt9uby5,0.25,1.7,0.00318,0.00318,2000,440,15000,5000,60.4636,0.6527,0.6528,0.6527,1.3191,1.434,1.4591,100000,16064,315,1,54,2.461,7.281000000000001,7138:0:356:3586:1415:2505:0:0:0,2371:1:134:1245:420:829:0:0:1,95220:15:4447:161:65:92:0:0:0,,
159,regressor,charmander,2020.07.14_12:18:59,bdt9uby5,0.25,1.7,0.00318,0.00318,2000,442,15000,5000,50.0855,0.7564,0.7564,0.7565,0.3476,0.3757,0.3358,100000,16064,315,121,148,2.461,9.024,7398:53:3996:3553,2538:11:1284:1167,98941:741:168:150,0.8400296020507813,
160,relegator,charmander,2020.07.14_12:20:36,bdt9uby5,0.25,1.7,0.00318,0.00318,2000,615,15000,5000,82.9156,0.5091,0.5091,0.5091,1.0146,1.0052,1.0434,100000,16064,315,0,44,2.461,6.632999999999999,5081:0:2395:455:1150:5919:0:0:0,1680:0:844:155:373:1948:0:0:1,67320:5:32357:15:47:256:0:0:0,,
161,regressor,charmander,2020.07.14_12:21:31,bdt9uby5,0.25,1.7,0.00318,0.00318,2000,384,15000,5000,43.2606,0.7339,0.7338,0.734,0.3438,0.3736,0.3511,100000,16064,315,27,87,2.461,8.148,7480:12:5357:2151,2507:1:1780:712,99514:168:230:88,0.9093765783309936,
162,relegator,charmander,2020.07.14_12:22:49,bdt9uby5,0.25,1.7,0.00318,0.00318,2000,476,15000,5000,64.2616,0.4378,0.4381,0.4378,1.1169,1.0933,1.177,100000,16064,315,0,44,2.461,6.632999999999999,1628:0:5861:125:1089:6297:0:0:0,535:0:1976:30:361:2098:0:0:1,21842:5:77835:7:46:265:0:0:0,,
163,regressor,charmander,2020.07.14_12:23:44,bdt9uby5,0.25,1.7,0.00318,0.00318,2000,378,15000,5000,43.3463,0.7533,0.7533,0.7534,0.3487,0.3761,0.3417,100000,16064,315,67,117,2.461,8.625,7507:26:4555:2912,2461:6:1526:1007,99283:399:200:118,0.8699565252661705,
164,relegator,charmander,2020.07.14_12:25:14,bdt9uby5,0.25,1.7,0.00318,0.00318,2000,568,15000,5000,76.262,0.5219,0.5219,0.5218,1.045,1.03,1.0723,100000,16064,315,0,47,2.461,6.856,4920:0:2549:533:1127:5871:0:0:0,1647:0:884:156:385:1928:0:0:1,65797:6:33879:20:48:250:0:0:0,,
165,regressor,charmander,2020.07.14_12:26:23,bdt9uby5,0.25,1.7,0.00318,0.00318,2000,505,15000,5000,57.6909,0.772,0.772,0.7721,0.3434,0.3679,0.3408,100000,16064,315,99,140,2.461,9.056000000000001,7430:48:4099:3423,2510:12:1352:1126,99027:655:177:141,0.8500271663069725,
166,relegator,charmander,2020.07.14_12:27:49,bdt9uby5,0.25,1.7,0.00318,0.00318,2000,536,15000,5000,72.1666,0.6445,0.6446,0.6444,1.088,1.0717,1.1338,100000,16064,315,0,43,2.461,6.557,5258:0:2252:595:1097:5798:0:0:0,1723:0:767:190:357:1963:0:0:1,69896:5:29781:27:45:246:0:0:0,,
167,regressor,charmander,2020.07.14_12:29:01,bdt9uby5,0.25,1.7,0.00318,0.00318,2000,532,15000,5000,60.6166,0.7576,0.7576,0.7577,0.3401,0.3728,0.3475,100000,16064,315,11,72,2.461,7.903,7471:5:5773:1751,2523:1:1938:538,99616:66:245:73,0.9499596327543258,
168,relegator,charmander,2020.07.14_12:30:41,xgfz3i6a,0.25,1.7,0.00318,0.00318,2000,442,15000,5000,60.2131,0.6818,0.6819,0.6818,1.4386,1.5422,1.4712,100000,15997,317,7,60,2.4819999999999998,7.33,7413:5:29:4833:1638:1082:0:0:0,2541:2:10:1572:512:363:0:0:1,99208:54:420:206:71:41:0:0:0,,
169,regressor,charmander,2020.07.14_12:31:51,xgfz3i6a,0.25,1.7,0.00318,0.00318,2000,517,15000,5000,58.5213,0.7727,0.7726,0.7727,0.3389,0.3685,0.3447,100000,15997,317,101,148,2.4819999999999998,9.379,7461:50:4171:3318,2473:16:1359:1152,99052:630:170:148,0.8595910557324533,
170,relegator,charmander,2020.07.14_12:33:22,xgfz3i6a,0.25,1.7,0.00318,0.00318,2000,566,15000,5000,77.0262,0.4462,0.4465,0.4462,1.1584,1.1547,1.1573,100000,15997,317,0,39,2.4819999999999998,6.245,1420:0:6086:79:887:6528:0:0:0,538:0:1956:20:316:2170:0:0:1,19628:2:80052:4:39:275:0:0:0,,
171,regressor,charmander,2020.07.14_12:34:25,xgfz3i6a,0.25,1.7,0.00318,0.00318,2000,451,15000,5000,52.2139,0.771,0.771,0.7711,0.3369,0.369,0.3518,100000,15997,317,20,82,2.4819999999999998,8.119,7538:9:5613:1840,2453:0:1879:668,99574:108:236:82,0.9399272578954696,
172,relegator,charmander,2020.07.14_12:35:50,xgfz3i6a,0.25,1.7,0.00318,0.00318,2000,518,15000,5000,70.3558,0.6622,0.6624,0.6621,1.1185,1.1108,1.1684,100000,15997,317,0,41,2.4819999999999998,6.403,5186:0:2266:868:983:5697:0:0:0,1802:0:746:296:305:1851:0:0:1,69262:1:30419:41:43:234:0:0:0,,
173,regressor,charmander,2020.07.14_12:37:03,xgfz3i6a,0.25,1.7,0.00318,0.00318,2000,550,15000,5000,62.0792,0.7712,0.7712,0.7713,0.3393,0.3696,0.3401,100000,15997,317,13,80,2.4819999999999998,8.296,7533:7:5663:1797,2458:2:1925:615,99601:81:238:80,0.94993926435709,
174,relegator,charmander,2020.07.14_12:38:25,xgfz3i6a,0.25,1.7,0.00318,0.00318,2000,477,15000,5000,67.8497,0.3558,0.356,0.3557,1.2296,1.185,1.2659,100000,15997,317,1,35,2.4819999999999998,5.832999999999999,0:0:7483:0:928:6589:0:0:0,0:0:2517:0:314:2169:0:0:1,0:2:99680:0:40:278:0:0:0,,
175,regressor,charmander,2020.07.14_12:39:30,xgfz3i6a,0.25,1.7,0.00318,0.00318,2000,471,15000,5000,54.0248,0.7566,0.7565,0.7566,0.3386,0.3712,0.3488,100000,15997,317,41,100,2.4819999999999998,8.422,7484:16:5214:2286,2497:3:1746:754,99468:214:218:100,0.90999571621418,
176,relegator,charmander,2020.07.14_12:40:52,xgfz3i6a,0.25,1.7,0.00318,0.00318,2000,462,15000,5000,68.708,0.3664,0.3666,0.3663,1.2445,1.2051,1.1921,100000,15997,317,0,35,2.4819999999999998,5.916,983:0:6496:2:882:6637:0:0:0,356:0:2165:0:318:2161:0:0:1,13283:2:86397:0:38:280:0:0:0,,
177,regressor,charmander,2020.07.14_12:41:55,xgfz3i6a,0.25,1.7,0.00318,0.00318,2000,447,15000,5000,50.9135,0.7709,0.7708,0.7709,0.3466,0.3775,0.3259,100000,15997,317,19,79,2.4819999999999998,7.98,7470:8:5694:1828,2521:1:1865:613,99587:95:239:79,0.9377327172133664,
178,relegator,charmander,2020.07.14_12:43:50,6yc81o0c,0.25,1.7,0.00318,0.00318,2000,539,15000,5000,73.694,0.5774,0.5775,0.5773,1.1665,1.1583,1.1541,100000,16196,316,0,35,2.459,5.916,5126:0:2409:487:813:6165:0:0:0,1669:0:796:181:281:2073:0:0:1,68226:1:31455:31:39:248:0:0:0,,
179,regressor,charmander,2020.07.14_12:45:12,6yc81o0c,0.25,1.7,0.00318,0.00318,2000,523,15000,5000,69.5015,0.7632,0.7631,0.7632,0.3484,0.3739,0.3561,100000,16196,316,392,172,2.459,7.242999999999999,7321:197:3164:4318,2434:48:1114:1404,97451:2231:146:172,0.7602738070487977,
180,relegator,charmander,2020.07.14_12:46:40,6yc81o0c,0.25,1.7,0.00318,0.00318,2000,475,15000,5000,74.927,0.6361,0.6364,0.636,1.1792,1.139,1.2354,100000,16196,316,0,40,2.459,6.325,4484:0:3005:585:882:6044:0:0:0,1496:0:1015:201:298:1990:0:0:1,60148:2:39532:39:41:238:0:0:0,,
181,regressor,charmander,2020.07.14_12:48:11,6yc81o0c,0.25,1.7,0.00318,0.00318,2000,601,15000,5000,78.3938,0.7788,0.7788,0.7788,0.3485,0.3764,0.3487,100000,16196,316,249,153,2.459,7.631,7369:117:3612:3902,2473:41:1183:1303,98289:1393:165:153,0.8000343382358549,
182,relegator,charmander,2020.07.14_12:49:32,6yc81o0c,0.25,1.7,0.00318,0.00318,2000,443,15000,5000,67.6146,0.5686,0.5689,0.5685,1.2559,1.2362,1.2861,100000,16196,316,0,41,2.459,6.403,2321:0:5165:55:900:6559:0:0:0,812:0:1702:15:273:2198:0:0:1,31533:2:68147:3:42:273:0:0:0,,
183,regressor,charmander,2020.07.14_12:50:56,6yc81o0c,0.25,1.7,0.00318,0.00318,2000,547,15000,5000,73.0448,0.7644,0.7644,0.7644,0.3482,0.3759,0.3514,100000,16196,316,278,163,2.459,7.7620000000000005,7363:135:3526:3976,2458:44:1144:1354,98134:1548:155:163,0.8100209888815879,
184,relegator,charmander,2020.07.14_12:52:31,6yc81o0c,0.25,1.7,0.00318,0.00318,2000,472,15000,5000,72.9978,0.6869,0.6872,0.6868,1.2616,1.247,1.173,100000,16196,316,0,29,2.459,5.385,5061:0:2449:558:730:6202:0:0:0,1676:0:814:179:256:2075:0:0:1,67463:1:32218:34:30:254:0:0:0,,
185,regressor,charmander,2020.07.14_12:53:45,6yc81o0c,0.25,1.7,0.00318,0.00318,2000,445,15000,5000,62.0227,0.7704,0.7703,0.7704,0.3549,0.3832,0.3477,100000,16196,316,256,154,2.459,7.606,7408:131:3624:3837,2429:32:1202:1337,98257:1425:164:154,0.7899064072966576,
186,relegator,charmander,2020.07.14_12:55:22,6yc81o0c,0.25,1.7,0.00318,0.00318,2000,462,15000,5000,81.59,0.6938,0.6939,0.6938,1.4065,1.513,1.3524,100000,16196,316,1,50,2.459,7.001,7422:3:142:3934:1209:2290:0:0:0,2386:1:46:1304:431:832:0:0:1,97996:13:1673:178:58:82:0:0:0,,
187,regressor,charmander,2020.07.14_12:56:55,6yc81o0c,0.25,1.7,0.00318,0.00318,2000,464,15000,5000,76.5243,0.7762,0.7762,0.7763,0.3506,0.3787,0.3456,100000,16196,316,245,153,2.459,7.669,7387:122:3663:3828,2450:41:1213:1296,98342:1340:165:153,0.8097727087140084,
188,relegator,charmander,2020.07.14_12:59:14,rawu52kt,0.25,1.7,0.00318,0.00318,2000,580,15000,5000,85.2688,0.6495,0.6496,0.6494,1.1193,1.1127,1.0392,100000,16155,317,0,30,2.47,5.477,5064:1:2467:431:1045:5992:0:0:0,1653:0:815:141:362:2029:0:0:1,67094:3:32585:19:32:267:0:0:0,,
189,regressor,charmander,2020.07.14_13:00:31,rawu52kt,0.25,1.7,0.00318,0.00318,2000,442,15000,5000,63.7656,0.7677,0.7677,0.7678,0.3496,0.3781,0.3486,100000,16155,317,85,117,2.47,8.232000000000001,7450:44:4338:3168,2490:16:1497:997,99214:468:201:117,0.8600176084041595,
190,relegator,charmander,2020.07.14_13:02:14,rawu52kt,0.25,1.7,0.00318,0.00318,2000,596,15000,5000,87.4978,0.6543,0.6545,0.6543,1.0823,1.0718,1.0743,100000,16155,317,1,30,2.47,5.388,5220:1:2258:554:1095:5872:0:0:0,1806:0:715:201:344:1934:0:0:1,70072:3:29607:27:30:261:0:0:0,,
191,regressor,charmander,2020.07.14_13:03:21,rawu52kt,0.25,1.7,0.00318,0.00318,2000,466,15000,5000,54.4247,0.7808,0.7807,0.7808,0.347,0.3755,0.3516,100000,16155,317,84,117,2.47,8.253,7470:52:4405:3073,2462:16:1448:1074,99190:492:201:117,0.8601030284166337,
192,relegator,charmander,2020.07.14_13:04:45,rawu52kt,0.25,1.7,0.00318,0.00318,2000,509,15000,5000,70.9701,0.6084,0.6087,0.6083,1.1584,1.1447,1.2914,100000,16155,317,1,28,2.47,5.199,3501:0:3954:115:1052:6378:0:0:0,1150:1:1394:42:343:2070:0:0:1,46421:3:53258:4:30:284:0:0:0,,
193,regressor,charmander,2020.07.14_13:05:52,rawu52kt,0.25,1.7,0.00318,0.00318,2000,456,15000,5000,54.6389,0.7749,0.7748,0.7749,0.3509,0.3804,0.3426,100000,16155,317,101,126,2.47,8.363,7457:55:4218:3270,2474:14:1404:1108,99122:560:192:126,0.8492399254890188,
194,relegator,charmander,2020.07.14_13:07:22,rawu52kt,0.25,1.7,0.00318,0.00318,2000,524,15000,5000,76.0857,0.5403,0.5404,0.5403,1.1114,1.0817,1.0588,100000,16155,317,1,32,2.47,5.57,4986:1:2544:472:1109:5888:0:0:0,1635:0:834:153:387:1991:0:0:1,66195:7:33480:24:34:260:0:0:0,,
195,regressor,charmander,2020.07.14_13:08:37,rawu52kt,0.25,1.7,0.00318,0.00318,2000,502,15000,5000,61.7819,0.7692,0.7692,0.7693,0.3513,0.3814,0.3476,100000,16155,317,114,131,2.47,8.369,7413:66:4061:3460,2506:15:1346:1133,99033:649:187:131,0.8395096009864937,
196,relegator,charmander,2020.07.14_13:09:58,rawu52kt,0.25,1.7,0.00318,0.00318,2000,456,15000,5000,65.4487,0.3569,0.3572,0.3568,1.2594,1.2501,1.1784,100000,16155,317,0,31,2.47,5.568,0:1:7479:0:995:6525:0:0:0,0:0:2520:0:354:2126:0:0:1,0:3:99679:0:31:287:0:0:0,,
197,regressor,charmander,2020.07.14_13:11:06,rawu52kt,0.25,1.7,0.00318,0.00318,2000,488,15000,5000,56.7202,0.7683,0.7682,0.7683,0.3483,0.3753,0.3488,100000,16155,317,15,57,2.47,6.718,7489:8:5754:1749,2501:2:1940:557,99608:74:261:57,0.9395503729581832,
198,relegator,charmander,2020.07.14_22:34:46,t36hw2fo,0.25,1.7,0.0056229999999999995,0.00563,2000,563,15000,5000,85.4191,0.6397,0.6398,0.6396,0.8872,0.8989,0.8463,100000,16044,562,1,101,4.361000000000001,10.0,5131:2:2419:538:1378:5532:0:0:0,1636:0:812:217:497:1838:0:0:1,67466:10:31961:42:105:416:0:0:0,,
199,regressor,charmander,2020.07.14_22:35:50,t36hw2fo,0.25,1.7,0.0056229999999999995,0.00563,2000,400,15000,5000,51.8418,0.7535,0.7534,0.7536,0.3489,0.3766,0.3458,100000,16044,562,136,268,4.361000000000001,13.333,7425:69:3853:3653,2487:19:1263:1231,98565:872:295:268,0.8300247806310654,
200,relegator,charmander,2020.07.14_22:37:31,t36hw2fo,0.25,1.7,0.0056229999999999995,0.00563,2000,571,15000,5000,87.5044,0.6518,0.652,0.6518,0.8382,0.8451,0.8794,100000,16044,562,1,108,4.361000000000001,10.345,4991:1:2507:446:1483:5572:0:0:0,1715:1:785:155:492:1852:0:0:1,67027:21:32389:35:109:419:0:0:0,,
201,regressor,charmander,2020.07.14_22:38:44,t36hw2fo,0.25,1.7,0.0056229999999999995,0.00563,2000,480,15000,5000,61.5782,0.7624,0.7623,0.7624,0.349,0.3779,0.3477,100000,16044,562,148,265,4.361000000000001,13.04,7438:82:3796:3684,2460:20:1287:1233,98523:914:298:265,0.8201939362287521,
202,relegator,charmander,2020.07.14_22:40:27,t36hw2fo,0.25,1.7,0.0056229999999999995,0.00563,2000,589,15000,5000,88.9138,0.7072,0.7074,0.7071,0.9333,0.9489,0.9142,100000,16044,562,1,102,4.361000000000001,10.05,6138:1:1402:1332:1287:4840:0:0:0,2025:0:434:443:448:1650:0:0:1,81337:11:18089:120:103:340:0:0:0,,
203,regressor,charmander,2020.07.14_22:41:47,t36hw2fo,0.25,1.7,0.0056229999999999995,0.00563,2000,524,15000,5000,68.4808,0.7817,0.7816,0.7817,0.3487,0.3766,0.3412,100000,16044,562,194,280,4.361000000000001,12.860999999999999,7450:99:3615:3836,2424:27:1202:1347,98259:1178:283:280,0.8194042114562762,
204,relegator,charmander,2020.07.14_22:43:19,t36hw2fo,0.25,1.7,0.0056229999999999995,0.00563,2000,519,15000,5000,78.0374,0.501,0.5012,0.501,0.9457,0.9508,0.9126,100000,16044,562,1,105,4.361000000000001,10.199,3114:2:4396:264:1376:5848:0:0:0,1003:0:1485:97:482:1933:0:0:1,41049:13:58375:25:107:431:0:0:0,,
205,regressor,charmander,2020.07.14_22:44:29,t36hw2fo,0.25,1.7,0.0056229999999999995,0.00563,2000,511,15000,5000,58.0545,0.7771,0.7771,0.7771,0.3457,0.3724,0.3551,100000,16044,562,173,280,4.361000000000001,13.155999999999999,7471:74:3621:3834,2422:33:1250:1295,98329:1108:283:280,0.8000391304492951,
206,relegator,charmander,2020.07.14_22:45:40,t36hw2fo,0.25,1.7,0.0056229999999999995,0.00563,2000,434,15000,5000,57.9168,0.5693,0.5694,0.5692,1.0039,1.1589,1.0275,100000,16044,562,7,127,4.361000000000001,10.970999999999998,4128:5:3361:1454:1915:4137:0:0:0,1420:2:1084:491:588:1415:0:0:1,54975:67:44395:117:139:307:0:0:0,,
207,regressor,charmander,2020.07.14_22:46:49,t36hw2fo,0.25,1.7,0.0056229999999999995,0.00563,2000,506,15000,5000,56.8882,0.7761,0.776,0.7761,0.343,0.3729,0.3533,100000,16044,562,123,261,4.361000000000001,13.319,7400:59:3911:3630,2519:22:1285:1174,98667:770:302:261,0.8484277635579929,
208,relegator,charmander,2020.07.14_22:48:40,jxdyekkh,0.25,1.7,0.0056229999999999995,0.00563,2000,535,15000,5000,72.1365,0.7022,0.7023,0.7022,0.8792,1.2227,0.8724,100000,16050,562,64,233,4.36,13.52,5516:35:1931:737:3184:3597:0:0:0,1875:7:636:230:1029:1223:0:0:1,73170:445:25822:63:241:259:0:0:0,,
209,regressor,charmander,2020.07.14_22:49:43,jxdyekkh,0.25,1.7,0.0056229999999999995,0.00563,2000,451,15000,5000,50.9722,0.779,0.7789,0.779,0.3444,0.3698,0.344,100000,16050,562,142,280,4.36,13.63,7468:53:3828:3651,2458:21:1307:1214,98548:889:282:281,0.8386942710535368,
210,relegator,charmander,2020.07.14_22:51:06,jxdyekkh,0.25,1.7,0.0056229999999999995,0.00563,2000,513,15000,5000,69.4774,0.7157,0.7159,0.7157,0.9149,1.1503,0.9595,100000,16050,562,10,155,4.36,12.067,5861:14:1640:1092:2200:4193:0:0:0,1946:6:533:358:733:1424:0:0:1,77211:163:22063:83:169:311:0:0:0,,
211,regressor,charmander,2020.07.14_22:52:10,jxdyekkh,0.25,1.7,0.0056229999999999995,0.00563,2000,465,15000,5000,52.2666,0.7755,0.7754,0.7755,0.3455,0.3723,0.3397,100000,16050,562,309,319,4.36,12.729000000000001,7324:139:3331:4206,2495:42:1096:1367,97641:1796:243:320,0.7795921421051026,
212,relegator,charmander,2020.07.14_22:53:31,jxdyekkh,0.25,1.7,0.0056229999999999995,0.00563,2000,501,15000,5000,67.2945,0.6863,0.6864,0.6863,0.949,1.1815,0.9897,100000,16050,562,17,162,4.36,12.107999999999999,6597:13:879:1861:2355:3295:0:0:0,2228:7:276:638:780:1071:0:0:1,87682:197:11558:150:183:230:0:0:0,,
213,regressor,charmander,2020.07.14_22:54:35,jxdyekkh,0.25,1.7,0.0056229999999999995,0.00563,2000,465,15000,5000,53.2904,0.7616,0.7616,0.7617,0.3395,0.3694,0.3474,100000,16050,562,212,303,4.36,13.352,7456:87:3497:3960,2425:32:1220:1323,98119:1318:259:304,0.8098484861850738,
214,relegator,charmander,2020.07.14_22:56:00,jxdyekkh,0.25,1.7,0.0056229999999999995,0.00563,2000,526,15000,5000,70.9985,0.623,0.6231,0.623,0.9097,1.0477,0.9039,100000,16050,562,5,123,4.36,10.872,6239:3:1298:1355:1731:4374:0:0:0,2040:0:420:468:556:1516:0:0:1,82336:52:17049:111:132:320:0:0:0,,
215,regressor,charmander,2020.07.14_22:57:00,jxdyekkh,0.25,1.7,0.0056229999999999995,0.00563,2000,433,15000,5000,48.2909,0.7627,0.7626,0.7627,0.3437,0.3797,0.3427,100000,16050,562,213,302,4.36,13.308,7396:91:3584:3929,2477:36:1185:1302,98139:1298:260:303,0.8101063135266303,
216,relegator,charmander,2020.07.14_22:58:29,jxdyekkh,0.25,1.7,0.0056229999999999995,0.00563,2000,563,15000,5000,75.2315,0.6761,0.6762,0.6761,0.9171,1.1633,0.8574,100000,16050,562,24,189,4.36,12.95,5911:19:1584:1023:2489:3974:0:0:0,1977:2:507:307:857:1350:0:0:1,77971:204:21262:82:192:289:0:0:0,,
217,regressor,charmander,2020.07.14_22:59:33,jxdyekkh,0.25,1.7,0.0056229999999999995,0.00563,2000,482,15000,5000,53.452,0.7823,0.7823,0.7823,0.3392,0.3722,0.3473,100000,16050,562,155,282,4.36,13.49,7415:65:3776:3744,2499:21:1255:1225,98505:932:280:283,0.8300603666901588,
218,relegator,charmander,2020.07.14_23:01:22,b5y39i2j,0.25,1.7,0.0056229999999999995,0.00563,2000,519,15000,5000,69.1842,0.7084,0.7085,0.7084,0.932,1.2141,0.8972,100000,16145,563,26,185,4.356,12.735999999999999,6026:16:1473:1174:2405:3906:0:0:0,1989:6:490:394:823:1298:0:0:1,79969:224:19244:85:190:288:0:0:0,,
219,regressor,charmander,2020.07.14_23:02:19,b5y39i2j,0.25,1.7,0.0056229999999999995,0.00563,2000,418,15000,5000,46.2786,0.7749,0.7748,0.7749,0.3463,0.3791,0.3475,100000,16145,563,106,244,4.356,13.042,7449:54:4242:3255,2486:11:1391:1112,98788:649:319:244,0.8498547390103341,
220,relegator,charmander,2020.07.14_23:03:51,b5y39i2j,0.25,1.7,0.0056229999999999995,0.00563,2000,581,15000,5000,77.4901,0.6623,0.6625,0.6622,0.8586,0.8553,0.8698,100000,16145,563,1,88,4.356,9.328,4888:0:2580:364:1219:5949:0:0:0,1672:0:860:120:396:1952:0:0:1,65609:5:33823:27:88:448:0:0:0,,
221,regressor,charmander,2020.07.14_23:04:54,b5y39i2j,0.25,1.7,0.0056229999999999995,0.00563,2000,459,15000,5000,51.6004,0.7714,0.7713,0.7714,0.3424,0.3699,0.3574,100000,16145,563,219,301,4.356,13.2,7357:121:3483:4039,2479:43:1169:1309,97885:1552:262:301,0.8098178610205649,
222,relegator,charmander,2020.07.14_23:06:26,b5y39i2j,0.25,1.7,0.0056229999999999995,0.00563,2000,579,15000,5000,78.6697,0.6493,0.6495,0.6493,0.865,0.8701,0.8797,100000,16145,563,1,92,4.356,9.54,5113:0:2380:496:1290:5721:0:0:0,1710:0:797:172:398:1923:0:0:1,68006:6:31425:35:97:431:0:0:0,,
223,regressor,charmander,2020.07.14_23:07:27,b5y39i2j,0.25,1.7,0.0056229999999999995,0.00563,2000,452,15000,5000,49.8333,0.7692,0.7692,0.7693,0.3479,0.3774,0.3457,100000,16145,563,138,256,4.356,12.897,7461:73:3937:3529,2442:24:1364:1170,98566:871:307:256,0.8299397939443588,
224,relegator,charmander,2020.07.14_23:08:50,b5y39i2j,0.25,1.7,0.0056229999999999995,0.00563,2000,512,15000,5000,68.511,0.7051,0.7053,0.7051,0.9764,0.9757,0.9453,100000,16145,563,0,90,4.356,9.487,6970:0:512:2396:1176:3946:0:0:0,2344:0:174:792:416:1274:0:0:1,92548:7:6882:170:92:301:0:0:0,,
225,regressor,charmander,2020.07.14_23:09:53,b5y39i2j,0.25,1.7,0.0056229999999999995,0.00563,2000,469,15000,5000,51.6718,0.7655,0.7654,0.7655,0.3442,0.3753,0.36,100000,16145,563,147,270,4.356,13.222000000000001,7453:80:3800:3667,2429:38:1298:1235,98412:1025:293:270,0.8297516036033629,
226,relegator,charmander,2020.07.14_23:11:23,b5y39i2j,0.25,1.7,0.0056229999999999995,0.00563,2000,578,15000,5000,77.0344,0.6752,0.6754,0.6751,0.8853,0.8856,0.8991,100000,16145,563,1,89,4.356,9.381,5207:0:2235:507:1234:5817:0:0:0,1727:0:831:154:410:1878:0:0:1,69029:6:30402:37:94:432:0:0:0,,
